standard: Use JavaScript Standard Style (https://standardjs.com)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:61:3: 'createdReservation1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:70:3: 'createdReservation2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:79:18: 'createdReservation1' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:79:39: 'createdReservation2' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:87:3: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:97:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:99:41: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:103:3: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:112:3: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:121:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:122:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:123:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:126:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:127:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:128:10: 'updatedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:132:3: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:141:3: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:142:5: 'createdReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:144:10: 'deletedReservation' is not defined. (no-undef)
  C:\dev\School\SOEN341\Error_404-soen341projectW2024\Sprint 2\backend\tests\res.test.js:144:45: 'createdReservation' is not defined. (no-undef)
